2023 Rank,LEA,School Name,RESIDUAL,2023 ACT,Rank Chg,ACT Chg,,,,,,,,
,,,,Avg Comp,from 2022,Avg Comp,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP,,2122_RANK,2122_ACT
154,3505042,Pine Bluff High School,-0.492,15.48,42,0.88,154,405048,Rogers High School,-0.434177969,19.47,,196,14.6
155,7307032,Riverview High School,-0.5024,17.43,30,-0.01,155,7204028,Greenland High School,-0.458755695,17.6,,185,17.44
156,2104021,Dumas High School,-0.5055,16.15,-124,-1.38,156,506032,Lead Hill High School,-0.462091412,17.5,,32,17.53
157,2703010,Poyen High School,-0.5076,17.87,-120,-1.63,157,4101004,Ashdown High School,-0.470811055,17.75,,37,19.5
158,1203011,Quitman High School,-0.5199,18.36,-122,-1.95,158,7201002,Elkins High School,-0.482452561,18.9,,36,20.31
159,3510076,White Hall High School,-0.5313,18.2,-56,-0.73,159,6303022,Bryant High School,-0.490317422,20.27,,103,18.93
160,2304022,Guy-Perkins High School,-0.5646,16.92,-60,-0.88,160,5006024,Prescott High School,-0.491763207,17.11,,100,17.8
161,2404017,Ozark High School,-0.5722,18.74,3,-0.23,161,6606062,Mansfield High School,-0.498152301,18.19,,164,18.97
162,6601024,Northside High School,-0.5748,18.08,-24,-0.34,162,1905017,Wynne High School,-0.510811123,17.8,,138,18.42
163,701002,Hampton High School,-0.5753,17.03,4,-0.29,163,104025,Stuttgart High School,-0.511594416,17.26,,167,17.32
164,302007,Cotter High School,-0.5796,18.23,-76,-0.82,164,2404017,Ozark High School,-0.5125056,18.97,,88,19.05
165,203018,Hamburg High School,-0.5889,17.75,43,0.55,165,3306015,Izard Co. Cons. High School,-0.529740443,17.74,,208,17.2
166,4203012,Paris High School,-0.6256,17.97,-77,-0.83,166,6605057,Lavaca High School,-0.532724362,18.47,,89,18.8
167,405048,Rogers High School,-0.6278,19.4,-13,-0.07,167,701002,Hampton High School,-0.542507426,17.32,,154,19.47
168,5706002,Acorn High School,-0.6399,17.98,38,0.23,168,6201011,Forrest City High School,-0.546291034,15.11,,206,17.75
169,3403013,Newport High School,-0.6466,16.28,-140,-1.78,169,4602006,Genoa Central High School,-0.555433928,20.01,,29,18.06
170,4713051,Osceola High School,-0.6471,14.45,11,0.2,170,6804010,Highland High School,-0.556174984,18.17,,181,14.25
171,104025,Stuttgart High School,-0.6483,17.91,-8,0.65,171,5403019,Central High School,-0.589671455,14.13,,163,17.26
172,6502006,Marshall High School,-0.6637,17.83,-93,-1.37,172,6050703,College Prep Academy,-0.593693182,15.91,,79,19.2
173,3005030,Ouachita High School,-0.6656,18.38,16,0.13,173,4201002,Booneville High School,-0.602589198,18.23,,189,18.25
174,5903012,Hazen High School,-0.6788,17.26,-63,-0.77,174,5204023,Camden Fairview High School,-0.607283332,16.31,,111,18.03
175,5205029,Harmony Grove High School,-0.709,17.96,36,-0.68,175,3003014,Magnet Cove High School,-0.6310632,18.83,,211,18.64
176,1507036,Morrilton Sr. High School,-0.7098,17.98,-44,-0.16,176,4003016,Star City High School,-0.646305523,17.55,,132,18.14
177,201006,Crossett High School,-0.7172,17.66,-35,-0.26,177,4712044,Manila High School,-0.646470557,18.34,,142,17.92
178,5503011,Kirby High School,-0.7367,17.3,15,-0.49,178,1613021,Riverside High School,-0.70327494,17.91,,193,17.79
179,5006024,Prescott High School,-0.7368,16.61,-19,-0.5,179,2202005,Drew Central High School,-0.712545913,17.36,,160,17.11
180,2501002,Mammoth Spring High School,-0.7475,17.44,-128,-1.64,180,6703013,Horatio High School,-0.755655458,17.49,,52,19.08
181,3804010,Hoxie High School,-0.7484,17.56,-64,-0.98,181,4713051,Osceola High School,-0.756219447,14.25,,117,18.54
182,1702009,Cedarville High School,-0.7748,17.84,-95,-0.51,182,1602055,Westside High School,-0.762411947,18.71,,87,18.35
183,2803017,Marmaduke High School,-0.78,17.42,-68,-1.01,183,1703013,Mountainburg High School,-0.770500635,17.72,,115,18.43
184,2807008,Greene Co. Tech High School,-0.7982,18.79,-36,-0.38,184,2903012,Hope High School,-0.782050781,16.34,,148,19.17
185,1613021,Riverside High School,-0.8101,17.77,-7,-0.14,185,7307032,Riverview High School,-0.813252804,17.44,,178,17.91
186,3104006,Mineral Springs High School,-0.8226,14.43,-106,-0.95,186,6002082,North Little Rock High School,-0.82888386,17.33,,80,15.38
187,4102010,Foreman High School,-0.8408,17.4,26,0.54,187,6301002,Bauxite High School,-0.831570067,19.07,,213,16.86
188,5204023,Camden Fairview High School,-0.8448,16.53,-14,0.22,188,3904011,Lee High School,-0.841712489,13.48,,174,16.31
189,6703013,Horatio High School,-0.8542,17.49,-9,0,189,3005030,Ouachita High School,-0.866929466,18.25,,180,17.49
190,3809023,Hillcrest High School,-0.8618,17.23,-45,-0.81,190,3806019,Sloan-Hendrix High School,-0.883777087,17.55,,145,18.04
191,3002009,Glen Rose High School,-0.882,18.51,-61,-0.68,191,4902007,Mount Ida High School,-0.895226648,17.69,,130,19.19
192,1601002,Bay High School,-0.8848,17.41,-132,-1.59,192,7007040,Parkers Chapel High School,-0.905200313,18.35,,60,19
193,4304005,Cabot High School,-0.9124,20.59,1,-0.19,193,5503011,Kirby High School,-0.918741823,17.79,,194,20.78
194,803012,Green Forest High School,-0.9291,17.19,28,1.22,194,4304005,Cabot High School,-0.92255112,20.78,,222,15.97
195,7003028,Junction City High School,-0.9483,16.25,0,-0.7,195,7003028,Junction City High School,-0.941436515,16.95,,195,16.95
196,4003016,Star City High School,-0.9536,17.47,-20,-0.08,196,3505042,Pine Bluff High School,-0.958075745,14.6,,176,17.55
197,5008014,Nevada High  School,-0.9549,16.59,-169,-1.73,197,3212027,Cedar Ridge High School,-0.958827403,17.29,,28,18.32
198,2305026,Mayflower High School,-0.9781,17.45,20,0.4,198,4605026,Arkansas High School,-0.958860802,16.79,,218,17.05
199,5404032,Marvell-Elaine High School,-0.9882,13.65,-70,-0.83,199,6401003,Waldron High School,-0.966144015,17.47,,129,14.48
200,5605023,Trumann High School,-1.0228,17.02,-67,-0.46,200,1505026,Wonderview High School,-1.010717175,17.66,,133,17.48
201,2705021,Sheridan High School,-1.049,19.24,6,-0.06,201,2605034,Lake Hamilton High School,-1.040019513,19.08,,207,19.3
202,6301703,Miner Academy,-1.0569,17.26,30,1.13,202,7008045,Smackover High School,-1.053903189,17.82,,232,16.13
203,6201011,Forrest City High School,-1.0698,14.58,-35,-0.53,203,3509067,Watson Chapel High School,-1.062779392,15.26,,168,15.11
204,6103010,Pocahontas High School,-1.0922,18.22,-77,-0.79,204,4603010,Fouke High School,-1.100050966,18.38,,127,19.01
205,3509067,Watson Chapel High School,-1.1799,15.07,-2,-0.19,205,5608037,East Poinsett Co. High School,-1.143434691,16.69,,203,15.26
206,407027,Pea Ridge High School,-1.2507,18.5,14,0.18,206,5706002,Acorn High School,-1.167798312,17.75,,220,18.32
207,1704017,Mulberry High School,-1.2679,17.56,-73,-0.83,207,2705021,Sheridan High School,-1.171819679,19.3,,134,18.39
208,4303013,Carlisle High School,-1.2689,17.14,-57,-0.86,208,203018,Hamburg High School,-1.19981811,17.2,,151,18
209,601007,Hermitage High School,-1.3387,15.87,-176,-3,209,7303015,Bradford High School,-1.208492299,17.08,,33,18.87
210,1602055,Westside High School,-1.3543,18.03,-28,-0.68,210,3211035,Midland High School,-1.213901979,17.41,,182,18.71
211,4401003,Huntsville High School,-1.3822,17.37,-150,-2.36,211,6304030,Harmony Grove High School,-1.214331352,18.64,,61,19.73
212,4605026,Arkansas High School,-1.3848,16.59,-14,-0.2,212,4304703,Academic Center for Excellence,-1.224559065,17.57,,198,16.79
213,7509033,Western Yell Co. High School,-1.4635,15.81,-143,-2.05,213,4102010,Foreman High School,-1.255755255,16.86,,70,17.86
214,6301002,Bauxite High School,-1.47,18.57,-27,-0.5,214,405052,Rogers Heritage High School,-1.262161708,18.13,,187,19.07
215,7201002,Elkins High School,-1.4709,17.68,-57,-1.22,215,6003125,Wilbur D. Mills High School,-1.356157733,15.41,,158,18.9
